vfalter,vfsafe,vfproblem,age,gender,education,brexit_vote,vote2017_dum,nation_weight,pid
Slightly disagree,Slightly disagree,Slightly disagree,65,Male,3,1. Remain,Winner,0.599686414,Other
Strongly agree,Strongly disagree,Strongly agree,48,Female,3,2. Leave,NA,0.535463009,UKIP Brexit
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,57,Female,1,2. Leave,Winner,0.582560814,Conservative
Slightly agree,Disagree,Strongly agree,64,Male,1,2. Leave,Winner,0.987623086,Conservative
Strongly disagree,Strongly agree,Strongly disagree,43,Male,2,2. Leave,Winner,0.714254891,Conservative
Disagree,Neither agree nor disagree,Slightly disagree,55,Male,3,2. Leave,Winner,0.747127433,Other
Agree,Disagree,Agree,71,Female,1,1. Remain,Winner,0.564456859,Conservative
Neither agree nor disagree,Slightly disagree,Slightly agree,66,Male,2,1. Remain,Loser,0.58593342,Other
Disagree,Slightly agree,Neither agree nor disagree,57,Female,2,1. Remain,Loser,0.647664394,Other
Slightly agree,Slightly disagree,Slightly agree,68,Female,2,2. Leave,Winner,0.850668453,Conservative
Strongly disagree,Agree,Strongly disagree,62,Male,2,1. Remain,Loser,1.006211412,Other
Strongly agree,Disagree,Strongly agree,70,Male,2,2. Leave,Winner,0.844586675,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,43,Female,3,1. Remain,Loser,0.681292796,Other
Slightly disagree,Slightly agree,Disagree,38,Male,2,2. Leave,Winner,0.64583534,Conservative
Disagree,Disagree,Disagree,39,Female,3,1. Remain,Loser,0.609872824,Other
Slightly agree,Strongly disagree,Slightly agree,70,Female,3,2. Leave,NA,0.498064274,Other
Strongly agree,Strongly disagree,Strongly agree,62,Female,3,2. Leave,Winner,0.824212927,Conservative
Agree,Disagree,Agree,74,Male,1,2. Leave,Loser,1.563409457,UKIP Brexit
Slightly disagree,Slightly disagree,Neither agree nor disagree,45,Female,2,1. Remain,Loser,0.574572014,Other
Disagree,Slightly agree,Disagree,51,Male,3,1. Remain,Winner,0.59717538,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,54,Female,3,1. Remain,Loser,1.395042166,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,71,Female,1,2. Leave,NA,0.671309505,Conservative
Slightly disagree,Slightly agree,Disagree,48,Female,3,1. Remain,Loser,0.591875966,Other
Slightly agree,Neither agree nor disagree,Slightly agree,56,Female,3,1. Remain,Loser,0.74106862,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,41,Male,3,1. Remain,Loser,0.969347787,Other
Slightly disagree,Agree,Disagree,66,Female,3,1. Remain,Loser,0.57235355,Other
Strongly agree,Strongly agree,Strongly agree,69,Female,1,NA,Winner,2.789907791,Other
Slightly disagree,Slightly disagree,Slightly disagree,55,Female,2,2. Leave,Winner,0.93127364,Conservative
Strongly agree,Disagree,Agree,35,Male,2,2. Leave,Winner,0.671004277,UKIP Brexit
Slightly disagree,Slightly disagree,Slightly agree,72,Male,1,1. Remain,Loser,0.563599387,Other
Slightly agree,Slightly disagree,Slightly agree,66,Male,2,NA,Winner,0.919514455,Conservative
Slightly agree,Slightly disagree,Slightly agree,67,Male,2,2. Leave,Winner,0.749649204,Other
Neither agree nor disagree,Slightly disagree,Slightly agree,49,Female,3,1. Remain,Loser,0.681292796,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,70,Male,1,NA,NA,0.640758255,Conservative
Agree,Disagree,Agree,70,Male,2,2. Leave,Winner,1.938113823,Other
Slightly agree,Disagree,Slightly disagree,41,Male,2,1. Remain,Loser,0.553946909,Other
Slightly disagree,Neither agree nor disagree,Slightly agree,58,Female,2,2. Leave,NA,0.609409301,Other
Neither agree nor disagree,Slightly disagree,Slightly disagree,34,Male,3,1. Remain,Loser,2.691522003,Other
Slightly agree,Strongly disagree,Slightly agree,66,Female,2,1. Remain,Loser,0.581281101,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,73,Female,1,NA,NA,2.076415229,Other
Disagree,Neither agree nor disagree,Slightly disagree,75,Male,2,2. Leave,Winner,0.749649204,Other
Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,64,Female,1,1. Remain,Loser,0.468255247,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,64,Female,2,1. Remain,NA,1.429704173,Other
Neither agree nor disagree,Slightly disagree,Slightly agree,53,Female,1,1. Remain,Loser,0.641955843,Other
Slightly disagree,Agree,Slightly disagree,50,Male,1,1. Remain,Winner,0.840979277,Conservative
Disagree,Slightly agree,Disagree,56,Male,3,1. Remain,Loser,0.626611117,Other
Slightly disagree,Slightly agree,Neither agree nor disagree,33,Female,2,2. Leave,Loser,2.404320465,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40,Male,2,2. Leave,Loser,0.615207388,Conservative
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,51,Female,1,2. Leave,Winner,0.725869966,Other
Neither agree nor disagree,Slightly agree,Neither agree nor disagree,34,Male,2,NA,NA,0.81259169,Other
Strongly disagree,Slightly disagree,Slightly disagree,32,Female,3,2. Leave,Winner,0.834749928,Conservative
Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,72,Female,2,1. Remain,Loser,0.567922553,Other
Neither agree nor disagree,Slightly disagree,Slightly disagree,42,Male,2,NA,NA,0.794995036,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,64,Male,1,NA,NA,2.138522991,Other
Slightly agree,Slightly disagree,Slightly agree,79,Female,3,2. Leave,Winner,0.642159315,Conservative
Slightly agree,Agree,Disagree,71,Male,1,1. Remain,Winner,0.619792148,Conservative
Strongly disagree,Strongly agree,Strongly disagree,53,Male,3,1. Remain,Loser,0.645827132,Other
Neither agree nor disagree,Slightly agree,Neither agree nor disagree,76,Female,1,2. Leave,Winner,0.850668453,Conservative
Slightly agree,Slightly disagree,Neither agree nor disagree,56,Male,3,1. Remain,Winner,0.617005098,Other
Strongly agree,Strongly disagree,Strongly agree,29,Male,2,1. Remain,Winner,0.57155016,UKIP Brexit
Strongly agree,Slightly agree,Strongly agree,69,Female,1,2. Leave,Winner,0.687933186,Conservative
Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,69,Female,2,1. Remain,Loser,0.618063997,Other
Neither agree nor disagree,Slightly agree,Disagree,67,Male,1,2. Leave,Winner,0.703673563,Conservative
Slightly agree,Slightly disagree,Slightly agree,71,Male,1,2. Leave,Winner,0.749649204,UKIP Brexit
Strongly disagree,Agree,Strongly disagree,65,Male,3,1. Remain,Loser,0.642259454,Other
Slightly disagree,Slightly disagree,Slightly disagree,69,Male,1,2. Leave,Winner,0.661063685,Other
Disagree,Slightly agree,Slightly disagree,41,Female,3,2. Leave,Loser,0.799182233,Other
Strongly disagree,Strongly agree,Strongly disagree,45,Male,2,2. Leave,Winner,0.778847636,Conservative
Agree,Strongly disagree,Slightly disagree,45,Male,3,2. Leave,Winner,1.130142703,Conservative
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,71,Male,3,1. Remain,Winner,0.599872858,Conservative
Agree,Strongly disagree,Agree,71,Male,3,2. Leave,Winner,0.704255341,Conservative
Neither agree nor disagree,Slightly agree,Slightly disagree,80,Female,2,2. Leave,Loser,0.665437425,Other
Slightly agree,Disagree,Slightly agree,68,Male,2,1. Remain,NA,0.462158853,Other
Strongly agree,Disagree,Strongly agree,64,Female,1,2. Leave,Winner,0.725869966,Other
Strongly disagree,Agree,Strongly disagree,72,Male,1,2. Leave,Winner,0.846104748,Conservative
Slightly agree,Slightly disagree,Slightly agree,85,Male,3,2. Leave,Winner,0.764185509,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,35,Male,3,1. Remain,Loser,0.978022407,Other
Neither agree nor disagree,Slightly agree,Slightly disagree,67,Female,2,2. Leave,Winner,0.732274979,Conservative
Disagree,Agree,Disagree,46,Female,3,1. Remain,Loser,0.610566818,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,44,Male,2,NA,NA,0.735942873,Other
Slightly disagree,Slightly agree,Slightly disagree,57,Female,3,2. Leave,Winner,0.856333442,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,32,Female,3,1. Remain,Loser,0.681292796,Other
Slightly agree,Disagree,Agree,68,Male,2,2. Leave,Winner,0.661063685,UKIP Brexit
Neither agree nor disagree,Strongly agree,Disagree,62,Female,1,NA,Loser,1.417123712,Other
Strongly disagree,Strongly agree,Strongly disagree,65,Male,2,1. Remain,Loser,0.648006985,Other
Agree,Slightly disagree,Slightly agree,43,Male,2,2. Leave,Winner,0.645101259,UKIP Brexit
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,74,Female,1,1. Remain,Winner,0.703312463,Other
Strongly agree,Strongly disagree,Strongly agree,53,Female,1,2. Leave,Loser,0.653680848,UKIP Brexit
Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,41,Male,2,1. Remain,Loser,0.710872604,Other
Neither agree nor disagree,Neither agree nor disagree,Agree,70,Female,1,2. Leave,Winner,0.74732382,Conservative
Disagree,Agree,Disagree,40,Female,2,2. Leave,Loser,0.680026244,Other
Disagree,Agree,Disagree,53,Female,3,2. Leave,Loser,0.76264221,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,77,Female,1,2. Leave,Winner,0.687933186,Other
Slightly disagree,Slightly agree,Slightly agree,71,Male,2,1. Remain,Loser,0.538682157,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,72,Female,1,2. Leave,Loser,0.612666585,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,61,Male,1,2. Leave,Winner,0.822048139,Conservative
Neither agree nor disagree,Slightly agree,Slightly disagree,41,Female,3,1. Remain,Loser,0.784423774,Other
Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,64,Female,1,2. Leave,NA,0.70562347,Other
Slightly agree,Slightly agree,Neither agree nor disagree,57,Male,3,2. Leave,Loser,0.83879077,Other
Slightly disagree,Disagree,Slightly disagree,62,Male,3,1. Remain,Loser,0.708716328,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,46,Female,3,2. Leave,Loser,0.799182233,Other
Neither agree nor disagree,Agree,Slightly agree,72,Female,3,2. Leave,Winner,0.661376655,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,46,Male,1,NA,Loser,1.422825438,Other
Slightly agree,Slightly agree,Neither agree nor disagree,40,Male,1,1. Remain,Loser,0.928990314,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,87,Female,1,2. Leave,NA,0.498064274,Other
Neither agree nor disagree,Slightly agree,Slightly agree,70,Female,1,2. Leave,Winner,0.687933186,Other
Slightly disagree,Slightly agree,Neither agree nor disagree,72,Male,2,2. Leave,Winner,0.704255341,Conservative
Slightly agree,Disagree,Slightly disagree,40,Male,3,1. Remain,Loser,0.74354242,Conservative
Slightly agree,Slightly disagree,Slightly agree,70,Male,2,2. Leave,Winner,0.869861883,Conservative
Neither agree nor disagree,Slightly agree,Neither agree nor disagree,48,Male,2,1. Remain,Winner,0.707338557,Conservative
Slightly agree,Neither agree nor disagree,Slightly agree,33,Male,2,2. Leave,Loser,0.654861528,Other
Neither agree nor disagree,Slightly agree,Slightly disagree,42,Female,1,1. Remain,Loser,0.436234865,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,72,Male,2,1. Remain,Loser,0.571342719,Other
Disagree,Slightly disagree,Slightly disagree,50,Male,3,1. Remain,Loser,0.566587094,Other
Slightly disagree,Slightly agree,Neither agree nor disagree,33,Female,3,1. Remain,Loser,1.131896815,Other
Agree,Slightly disagree,Agree,59,Male,2,1. Remain,Loser,0.866169938,Other
Strongly disagree,Strongly agree,Strongly disagree,40,Male,3,1. Remain,Loser,0.940743111,Other
Agree,Slightly disagree,Slightly agree,68,Male,1,2. Leave,Winner,0.817442789,Other
Slightly disagree,Slightly agree,Neither agree nor disagree,50,Male,1,2. Leave,Loser,0.746863252,Other
Neither agree nor disagree,Slightly disagree,Slightly disagree,41,Female,3,NA,Loser,0.929207374,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,67,Female,2,2. Leave,Winner,0.732274979,Conservative
Strongly agree,Strongly disagree,Strongly agree,56,Male,1,2. Leave,Loser,0.905293187,UKIP Brexit
Disagree,Slightly agree,Strongly disagree,67,Male,3,2. Leave,Winner,0.683014869,Conservative
Slightly agree,Slightly agree,Slightly agree,63,Female,1,2. Leave,Winner,0.644277086,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,57,Male,1,2. Leave,NA,0.735953626,Other
Slightly agree,Slightly disagree,Slightly agree,62,Male,2,1. Remain,Winner,0.828456079,Conservative
Neither agree nor disagree,Slightly agree,Neither agree nor disagree,58,Male,2,2. Leave,Winner,0.883622405,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,45,Female,3,1. Remain,Winner,0.757481974,Conservative
Disagree,Agree,Disagree,38,Male,2,2. Leave,Winner,0.645101259,Conservative
Agree,Slightly agree,Agree,72,Female,1,1. Remain,Winner,0.549861702,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,66,Female,2,1. Remain,Loser,0.645841932,Other
Neither agree nor disagree,Slightly disagree,Slightly disagree,76,Male,3,2. Leave,Winner,0.749649204,Other
Slightly agree,Slightly disagree,Agree,49,Female,2,2. Leave,NA,1.511517612,Other
Neither agree nor disagree,Slightly disagree,Slightly disagree,66,Female,3,1. Remain,Winner,0.624255205,Other
Neither agree nor disagree,Slightly agree,Disagree,68,Male,3,1. Remain,Loser,1.036213499,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,73,Female,2,2. Leave,NA,0.679192485,Conservative
Slightly agree,Disagree,Slightly disagree,39,Female,3,2. Leave,Loser,0.778566361,Conservative
Strongly agree,Strongly disagree,Strongly agree,73,Female,2,2. Leave,Winner,0.687364892,Other
Slightly agree,Slightly disagree,Slightly agree,73,Female,3,1. Remain,Winner,0.564456859,Conservative
Disagree,Slightly agree,Disagree,36,Female,3,1. Remain,Loser,0.654579082,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,62,Female,2,1. Remain,Winner,0.706099677,Other
Neither agree nor disagree,Slightly agree,Slightly agree,81,Male,3,1. Remain,Winner,0.600368816,Conservative
Strongly agree,Strongly disagree,Strongly agree,56,Male,3,2. Leave,Winner,0.72863716,Other
Slightly disagree,Slightly agree,Neither agree nor disagree,39,Male,1,1. Remain,Loser,0.875303558,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,52,Male,3,2. Leave,NA,2.084605269,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,48,Female,1,1. Remain,Loser,0.397625517,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,42,Male,3,2. Leave,Winner,1.060831571,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,46,Male,1,2. Leave,Loser,0.96459006,Other
Strongly agree,Slightly disagree,Neither agree nor disagree,36,Female,3,1. Remain,Winner,0.684921635,Conservative
Slightly agree,Slightly disagree,Slightly agree,34,Female,3,2. Leave,Winner,2.440920016,Other
Neither agree nor disagree,Slightly agree,Slightly disagree,69,Female,2,2. Leave,Winner,0.732274979,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,40,Female,2,1. Remain,Winner,0.612516136,Other
Neither agree nor disagree,Neither agree nor disagree,Agree,59,Male,1,NA,Loser,2.379985614,Other
Slightly disagree,Slightly disagree,Slightly agree,45,Male,2,2. Leave,Winner,0.64583534,Conservative
Slightly agree,Slightly agree,Neither agree nor disagree,66,Male,3,1. Remain,Loser,0.514042067,Other
Slightly agree,Neither agree nor disagree,Slightly agree,51,Male,1,2. Leave,Winner,0.874039922,Conservative
Disagree,Agree,Disagree,44,Female,3,2. Leave,Winner,0.787260166,Conservative
Strongly agree,Slightly agree,Strongly agree,66,Female,1,1. Remain,NA,1.243799658,Other
Slightly disagree,Slightly agree,Slightly disagree,32,Female,3,NA,NA,0.875256925,Other
Slightly agree,Slightly disagree,Neither agree nor disagree,68,Male,3,2. Leave,Winner,0.749649204,Conservative
Slightly disagree,Slightly agree,Neither agree nor disagree,66,Female,1,2. Leave,Winner,0.825012135,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,42,Female,3,1. Remain,Loser,0.62563956,Other
Strongly agree,Strongly disagree,Strongly agree,74,Male,3,1. Remain,Loser,0.632009227,Other
Slightly agree,Slightly disagree,Slightly agree,70,Female,2,1. Remain,Winner,0.605427552,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,64,Male,1,NA,NA,0.90160449,Conservative
Disagree,Agree,Disagree,68,Male,1,1. Remain,Loser,0.604055005,Other
Slightly disagree,Disagree,Neither agree nor disagree,44,Female,2,NA,Loser,0.887879615,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,51,Female,1,1. Remain,Loser,0.504146536,Other
Disagree,Slightly agree,Disagree,65,Male,1,2. Leave,Winner,0.683014869,Other
Agree,Strongly disagree,Agree,71,Female,1,2. Leave,Winner,0.826495023,Conservative
Slightly agree,Disagree,Disagree,77,Male,1,2. Leave,Winner,0.845143033,Conservative
Disagree,Neither agree nor disagree,Disagree,71,Female,2,2. Leave,Winner,0.826495023,Conservative
Neither agree nor disagree,Slightly disagree,Slightly agree,58,Female,1,1. Remain,Winner,0.549238108,Conservative
Agree,Strongly disagree,Strongly disagree,75,Male,1,1. Remain,Winner,0.639066513,Conservative
Disagree,Agree,Disagree,65,Male,2,2. Leave,Loser,0.661123409,Other
Neither agree nor disagree,Slightly disagree,Slightly agree,62,Female,2,2. Leave,Winner,0.753118373,Conservative
Neither agree nor disagree,Slightly disagree,Slightly agree,54,Female,1,NA,NA,0.623642396,Other
Agree,Slightly disagree,Agree,57,Female,1,2. Leave,Winner,0.843783347,Conservative
Slightly agree,Slightly disagree,Slightly agree,52,Female,2,2. Leave,Winner,0.777241865,Conservative
Slightly disagree,Slightly disagree,Neither agree nor disagree,34,Female,2,2. Leave,Winner,0.860628415,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,67,Female,1,2. Leave,Winner,0.776447879,Other
Slightly agree,Neither agree nor disagree,Neither agree nor disagree,46,Female,2,1. Remain,Loser,0.641128478,Other
Slightly agree,Neither agree nor disagree,Slightly disagree,62,Female,2,2. Leave,Winner,0.772229894,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,67,Female,1,1. Remain,NA,0.424593526,Other
Disagree,Agree,Neither agree nor disagree,74,Female,2,2. Leave,Winner,0.686583607,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,66,Female,1,1. Remain,Loser,1.623834365,Other
Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,28,Female,2,1. Remain,Loser,0.641128478,Other
Agree,Disagree,Agree,60,Male,1,2. Leave,Winner,0.893017184,UKIP Brexit
Strongly disagree,Agree,Strongly disagree,54,Male,2,1. Remain,Loser,0.833154124,Other
Disagree,Agree,Disagree,74,Female,2,2. Leave,Winner,0.686583607,Conservative
Slightly agree,Agree,Slightly agree,39,Female,3,1. Remain,Loser,0.640038151,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,70,Female,1,1. Remain,Loser,1.529992267,Other
Neither agree nor disagree,Slightly disagree,Slightly agree,56,Male,3,2. Leave,NA,0.889276863,Other
Neither agree nor disagree,Slightly agree,Neither agree nor disagree,51,Male,2,2. Leave,Winner,0.877720372,Conservative
Slightly disagree,Slightly agree,Slightly disagree,40,Female,3,1. Remain,Winner,0.60684089,Conservative
Agree,Slightly disagree,Strongly agree,73,Male,2,2. Leave,Winner,0.656648202,UKIP Brexit
Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,68,Male,2,2. Leave,Winner,0.870851725,Other
Slightly agree,Neither agree nor disagree,Neither agree nor disagree,48,Female,2,1. Remain,Loser,0.56399369,Other
Slightly disagree,Slightly disagree,Slightly disagree,38,Male,3,NA,NA,1.616076924,Other
Strongly agree,Strongly disagree,Strongly agree,58,Male,3,2. Leave,Winner,0.800446285,UKIP Brexit
Agree,Disagree,Strongly agree,68,Female,3,2. Leave,Winner,0.731442648,Conservative
Slightly disagree,Neither agree nor disagree,Neither agree nor disagree,34,Male,3,1. Remain,Loser,0.969347787,Other
Slightly disagree,Slightly disagree,Agree,58,Male,2,2. Leave,Loser,1.008184147,UKIP Brexit
Disagree,Slightly disagree,Disagree,52,Male,3,1. Remain,Loser,0.83066852,Other
Disagree,Agree,Slightly disagree,68,Male,3,1. Remain,Winner,0.560421325,Conservative
Slightly disagree,Neither agree nor disagree,Neither agree nor disagree,40,Male,2,1. Remain,Loser,0.602854454,Other
Agree,Disagree,Slightly agree,69,Male,2,2. Leave,Winner,0.677839178,Other
Slightly agree,Slightly agree,Agree,78,Male,2,1. Remain,Loser,2.055605089,Other
Strongly agree,Disagree,Agree,41,Male,2,2. Leave,Winner,0.670449967,UKIP Brexit
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,61,Female,3,1. Remain,Loser,0.713271615,Other
Slightly agree,Strongly disagree,Neither agree nor disagree,63,Male,3,1. Remain,Winner,0.683146875,Other
Slightly agree,Slightly disagree,Slightly agree,71,Female,3,1. Remain,NA,0.531558464,Conservative
Slightly disagree,Slightly disagree,Disagree,66,Female,2,2. Leave,Winner,0.662129256,Conservative
Slightly agree,Slightly disagree,Slightly agree,65,Female,1,1. Remain,Loser,0.633708766,Other
Slightly disagree,Agree,Disagree,47,Male,2,2. Leave,Loser,0.509664371,Conservative
Disagree,Agree,Disagree,49,Male,1,2. Leave,Loser,2.069766252,Other
Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,74,Female,2,1. Remain,Winner,0.704576607,Conservative
Slightly agree,Slightly disagree,Slightly agree,69,Female,2,2. Leave,Winner,0.732274979,Conservative
Slightly disagree,Slightly agree,Slightly disagree,66,Female,2,2. Leave,Loser,0.691370278,Other
Slightly agree,Slightly disagree,Slightly agree,66,Male,2,2. Leave,Winner,0.704255341,UKIP Brexit
Disagree,Agree,Disagree,48,Male,1,1. Remain,Winner,0.865709253,Other
Neither agree nor disagree,Slightly disagree,Slightly agree,62,Male,3,2. Leave,Winner,0.876121248,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,70,Female,1,2. Leave,Winner,0.850668453,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,51,Female,1,1. Remain,Winner,0.481647437,Conservative
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,59,Female,2,NA,NA,2.221747499,Other
Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,70,Female,1,2. Leave,NA,1.590324661,Other
Disagree,Agree,Disagree,62,Female,3,2. Leave,Winner,1.025800874,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,50,Female,2,2. Leave,Loser,0.832978698,UKIP Brexit
Neither agree nor disagree,Neither agree nor disagree,Slightly agree,56,Female,2,1. Remain,Loser,2.015920935,Other
Slightly agree,Slightly agree,Slightly disagree,47,Female,1,NA,Loser,1.684764009,Other
Disagree,Agree,Disagree,76,Male,1,1. Remain,Loser,0.642990301,Other
Strongly disagree,Strongly agree,Strongly disagree,62,Female,2,2. Leave,Loser,0.866972994,Other
Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,62,Male,1,2. Leave,Loser,0.834497026,Other
Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,41,Female,2,2. Leave,Loser,0.654105672,Conservative
Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,54,Male,2,2. Leave,Loser,0.934113074,Other
Slightly disagree,Strongly disagree,Slightly disagree,68,Female,1,2. Leave,Loser,0.736771056,Other
Slightly agree,Slightly disagree,Agree,74,Female,2,2. Leave,Winner,0.620814729,Conservative
Strongly agree,Disagree,Strongly agree,31,Female,3,1. Remain,Loser,0.539832286,Other
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,68,Female,3,NA,Loser,0.869820323,Other
Agree,Agree,Slightly agree,72,Male,2,2. Leave,Loser,0.615087771,Conservative
Slightly agree,Disagree,Slightly agree,78,Male,1,2. Leave,Winner,0.870851725,Conservative
Slightly agree,Slightly disagree,Neither agree nor disagree,80,Female,3,1. Remain,Winner,0.661159692,Other
Strongly disagree,Neither agree nor disagree,Strongly disagree,65,Male,3,2. Leave,NA,1.891279935,Other
Slightly disagree,Neither agree nor disagree,Slightly agree,76,Female,1,2. Leave,Winner,0.826495023,Conservative
Slightly agree,Slightly disagree,Slightly agree,56,Male,1,2. Leave,Winner,0.821369054,Conservative
Disagree,Agree,Disagree,73,Female,1,2. Leave,Winner,0.662129256,Conservative
Neither agree nor disagree,Slightly disagree,Slightly agree,37,Female,2,1. Remain,Loser,0.574572014,Other
