Topic,Question,VariableName,Responses,Year,Type,DisplayOrder
Cholesterol (Awareness),Blood cholesterol is a fatty substance found in the blood.  Have you ever had your blood cholesterol checked?,BLOODCHO,1=Yes  2=No  7=DK/NS  9=Refused,2013,Core Question,12
Cholesterol (Awareness),About how long has it been since you last had your blood cholesterol checked?,CHOLCHK,1=Within the past year (anytime less than 12 months ago)  2=Within the past 2 years (1 year but less than 2 years ago)  3=Within the past 5 years (2 years but less than 5 years ago)  4=5 or more years ago  7=DK/NS  9=Refused,2013,Core Question,13
Cholesterol (Awareness),"Have you ever been told by a doctor, nurse or other health professional that your blood cholesterol is high?  (Change in variable name.)",TOLDHI2,1=Yes  2=No  7=DK/NS  9=Refused,2013,Core Question,14
Cardiovascular Disease/Heart Attack and Stroke,"[Prologue: Now I would like to ask you some questions about cardiovascular disease]. Has a doctor, nurse, or other health professional EVER told you that you had any of the following? For each, tell me ""Yes"", ""No"", or you're ""Not sure"".     (Ever told) you had a heart attack, also called a myocardial infarction? (Variable name change)",CVDINFR4,1=Yes   2=No   7=DK/NS   9=Refused,2013,Core Question,15
Cardiovascular Disease/Heart Attack and Stroke,"[Prologue: Now I would like to ask you some questions about cardiovascular disease]. Has a doctor, nurse, or other health professional EVER told you that you had any of the following? For each, tell me ""Yes"", ""No"", or you're ""Not sure"".  (Ever told) you had angina or coronary heart disease? (Variable name change)",CVDCRHD4,1=Yes   2=No   7=DK/NS   9=Refused,2013,Core Question,16
Cardiovascular Disease/Heart Attack and Stroke,"[Prologue: Now I would like to ask you some questions about cardiovascular disease]. Has a doctor, nurse, or other health professional EVER told you that you had any of the following? For each, tell me ""Yes"", ""No"", or you're ""Not sure"". (Ever told) you had a stroke?",CVDSTRK3,1=Yes   2=No   7=DK/NS   9=Refused,2013,Core Question,17
Chronic Health Conditions,(Ever told) you had asthma?,ASTHMA3,1=Yes 2=No 7=DK/NS 9=Refused,2013,Core Question,18
Asthma/Adult Asthma History,Do you still have asthma?,ASTHNOW,1=Yes  2=No  7=DK/NS  9=Refused,2013,Core Question,19
Chronic Health Conditions,(Ever told) you had skin cancer?,CHCSCNCR,1=Yes 2=No 7=DK / Not sure 9=Refused,2013,Core Question,20
Chronic Health Conditions,(Ever told) you had any other types of cancer?,CHCOCNCR,1=Yes 2=No 7=DK / Not sure 9=Refused,2013,Core Question,21
Chronic Health Conditions,"(Ever told) you have Chronic Obstructive Pulmonary Disease or COPD, emphysema or chronic bronchitis?",CHCCOPD1,1=Yes 2=No 7=DK / Not sure 9=Refused,2013,Core Question,22
Chronic Health Conditions,"(Ever told) you have some form of arthritis, rheumatoid arthritis, gout, lupus, or fibromyalgia?",HAVARTH3,1=Yes 2=No 7=DK/NS 9=Refused,2013,Core Question,23
Chronic Health Conditions,"(Ever told) you that you have a depressive disorder, including depression, major depression, dysthymia, or minor depression?",ADDEPEV2,1=Yes 2=No 7=DK/Not sure 9=Refused,2013,Core Question,24
Chronic Health Conditions,"(Ever told) you have kidney disease? Do NOT include kidney stones, bladder infection or incontinence.",CHCKIDNY,1=Yes 2=No 7=DK / Not sure 9=Refused,2013,Core Question,25
Chronic Health Conditions,(Ever told) you have diabetes,DIABETE3,"1=Yes 2=Yes, but female told only during pregnancy 3=No 4=No, pre-diabetes or borderline diabetes 7=DK/NS 9=Refused",2013,Core Question,26
Demographics,What is your age?,AGE,_ _=Code age in years  0 7=DK/NS   0 9=Refused,2013,Core Question,27
Demographics,"Are you Hispanic, Latino/a, or Spanish origin?",HISPANC3,"1=Mexican, Mexican American, Chicano/a 2=Puerto Rican 3=Cuban 4=Another Hispanic, Latino/a, or Spanish origin 5=No 7=DK/NS 12-4321=Multiple responses 9=Refused",2013,Core Question,28
Demographics,Which one or more of the following would you say is your race?,MRACE1,10=White 20=Black or African American 30=American Indian or Alaska Native 40=Asian 41=Asian Indian 42=Chinese 43=Filipino 44=Japanese 45=Korean 46=Vietnamese 47=Other Asian 50=Pacific Islander 51=Native Hawaiian 52=Guamanian or Chamorro 53=Samoan 54=Other,2013,Core Question,29
Demographics,Which one of these groups would you say best represents your race?,ORACE3,10=White 20=Black or African American 30=American Indian or Alaska Native 40=Asian 41=Asian Indian 42=Chinese 43=Filipino 44=Japanese 45=Korean 46=Vietnamese 47=Other Asian 50=Pacific Islander 51=Native Hawaiian 52=Guamanian or Chamorro 53=Samoan 54=Other,2013,Core Question,30
Demographics,"Have you ever served on active duty in the United States Armed Forces, either in the regular military or in a National Guard or military reserve unit?",VETERAN3,1=Yes 2=No 7=DK/NS 9=Refused,2013,Core Question,31
Demographics,Are you: (marital status),MARITAL,1=Married  2=Divorced  3=Widowed  4=Separated  5=Never married  6=A member of an unmarried couple  9=Refused,2013,Core Question,32
Demographics,How many children less than 18 years of age live in your household?,CHILDREN,_ _=Number of children  8 8=None  9 9=Refused,2013,Core Question,33
Demographics,What is the highest grade or year of school you completed?,EDUCA,1=Never attended school or only attended kindergarten  2=Grades 1 through 8 (Elementary)  3=Grades 9 through 11 (Some high school)  4=Grade 12 or GED (High school graduate)  5=College 1 year to 3 years (Some college or technical school)  6=College 4 years,2013,Core Question,34
Demographics,Are you currently…?,EMPLOY1,1=Employed for wages 2=Self-employed 3=Out of work for 1 year or more 4=Out of work for less that 1 year 5=A homemaker 6=A student 7=Retired 8=Unable to work 9=Refused,2013,Core Question,35
Demographics,Is your annual household income from all sources:,INCOME2,"04=Less than $25,000   ($20,000 to less than $25,000)   03=Less than $20,000   ($15,000 to less than $20,000)   02=Less than $15,000   ($10,000 to less than $15,000)   01=Less than $10,000   05=Less than $35,000   ($25,000 to less than $35,000)   06=Less",2013,Core Question,36
Demographics,"About how much do you weigh without shoes? (Note: If respondent answers in metrics, put a ""9"" in first column)[Round fractions up]",WEIGHT2,_ _ _ _=Weight (pounds/kilograms)  7 7 7 7=DK/NS  9 9 9 9=Refused,2013,Core Question,37
Demographics,"About how tall are you without shoes? (Note: If respondent answers in metrics, put a ""9"" in first column)[Round fractions down.] (variable name change)",HEIGHT3,_ _/_ _=Height (ft/inches/centimeters)  7 7 7 7=DK/NS  9 9 9 9=Refused,2013,Core Question,38
Demographics,What county do you live in?,CTYCODE1,001-776=ANSI county code (formerly FIPS code) 888=County from another state (cell phone data only) 777=DK/Not sure 999=Refused HIDDEN=Data not displayed,2013,Core Question,39
Demographics,What is your ZIP Code where you live?,ZIPCODE,_ _ _ _ _=ZIP Code  7 7 7 7 7= DK/NS  9 9 9 9 9= Refused,2013,Core Question,40
Demographics,Do you have more than one telephone number in your household?  Do not include cell phones or numbers that are only used by a computer or fax machine.,NUMHHOL2,1=Yes  2=No  7=DK/NS  9=Refused,2013,Core Question,41
Demographics,How many of these are residential numbers?,NUMPHON2,_=Residential telephone numbers[6=6 or more]  7=DK/NS  9=Refused,2013,Core Question,42
Cell Phone,Do you have a cell phone for personal use? Please include cell phones used for both business and personal use.,CPDEMO1,1=Yes  2=No  7=DK/NS  9=Refused,2013,Core Question,43
Cell Phone,"Thinking about all the phone calls that you receive on your landline and cell phone, what percent, between 0 and 100, are received on your cell phone?",CPDEMO4,_ _ _=Enter percent (1 to 100)  8 8 8=Zero  7 7 7=DK/NS  9 9 9=Refused,2013,Core Question,44
Demographics,Have you used the internet in the past 30 days?,INTERNET,1=Yes 2=No 7=DK/NS 9=Refused,2013,Core Question,45
Social Context,"[Prologue: There are many different factors that can affect a person's health. I'm going to ask you about several factors that can affect a person's health.] Do you own or rent your home? (Note: ""Other arrangement"" may include group home or staying with friends or family without paying rent.)",RENTHOM1,1=Own  2=Rent  3=Other arrangement  7=DK/NS  9=Refused,2013,Core Question,46
Demographics,Indicate sex of respondent. (Ask only if necessary.),SEX,1=Male  2=Female,2013,Core Question,47
Demographics,"To your knowledge, are you now pregnant?   (Note: This question was previously in the Women's Health section. This question was only asked of female respondents.)",PREGNANT,1=Yes  2=No  7=DK/NS  9=Refused,2013,Core Question,48
Activity Limitations/Disability,"[Prologue: The following questions are about health problems or impairments you may have.] Are you limited in any way in any activities because of physical, mental, or emotional problems?",QLACTLM2,1=Yes  2=No  7=DK/NS  9=Refused,2013,Core Question,49
Quality Of Life/Healthy Days (Symptoms)/Disability,"[Prologue] Do you now have any health problem that requires you to use special equipment, such as a cane, a wheelchair, a special bed, or a special telephone? Include occasional use or use in certain circumstances.",USEEQUIP,1=Yes  2=No  7=DK/NS  9=Refused,2013,Core Question,50
Demographics,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",BLIND,1=Yes 2=No 7=DK/NS 9=Refused,2013,Core Question,51
Demographics,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?",DECIDE,1=Yes 2=No 7=DK/NS 9=Refused,2013,Core Question,52
Demographics,Do you have serious difficulty walking or climbing stairs?,DIFFWALK,1=Yes 2=No 7=DK/NS 9=Refused,2013,Core Question,53
Demographics,Do you have difficulty dressing or bathing?,DIFFDRES,1=Yes 2=No 7=DK/NS 9=Refused,2013,Core Question,54
Demographics,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor’s office or shopping?",DIFFALON,1=Yes 2=No 7=DK/NS 9=Refused,2013,Core Question,55
Tobacco Use/Smoking Cessation/Secondhand Smoke,Have you smoked at least 100 cigarettes in your entire life? [Note: 5 packs = 100 cigarettes],SMOKE100,1=Yes  2=No  7=DK/NS  9=Refused,2013,Core Question,56
Tobacco Use/Smoking Cessation/Secondhand Smoke,"Do you now smoke cigarettes every day, some days, or not at all?",SMOKDAY2,1=Every day  2=Some days  3=Not at all  7=DK/NS  9=Refused,2013,Core Question,57
Tobacco Use/Smoking Cessation/Secondhand Smoke,"During the past 12 months, have you stopped smoking for one day or longer because you were trying to quit smoking?",STOPSMK2,1=Yes  2=No  7=DK/NS  9=Refused,2013,Core Question,58
Tobacco Use,"How long has it been since you last smoked a cigarette, even one or two puffs?",LASTSMK2,1=Within the past month (less than 1 month ago) 2=Within the past 3 months (1 month but less than 3 months ago) 3=Within the past 6 months (3 months but less than 6 months ago) 4=Within the past year (6 months but less than 1 year ago) 5=Within the past 5,2013,Core Question,59
Tobacco Use/Smoking Cessation/Secondhand Smoke,"Do you currently use chewing tobacco, snuff, or snus every day, some days, or not at all? Note: Snus (Swedish for snuff) is a moist smokeless tobacco, usually sold in small pouches that are placed under the lip against the gum.",USENOW3,1=Every day  2=Some days  3=Not at all  7=DK/NS  9=Refused,2013,Core Question,60
Alcohol Consumption,"During the past 30 days, how many days per week or per month did you have at least one drink of any alcoholic beverage such as beer, wine, a malt beverage or liquor?",ALCDAY5,101-199=Days per week 201-299=Days in past 30 days 888=No drinks in past 30 days 777=DK/Not sure 999=Refused,2013,Core Question,61
Alcohol Consumption,"One drink is equivalent to a 12-ounce beer, a 5-ounce glass of wine, or a drink with one shot of liquor. During the past 30 days, on the days when you drank, about how many drinks did you drink on the average? (Note: A 40 ounce beer would count as 3 drinks, or a cocktail drink with 2 shots would count as 2 drinks.)",AVEDRNK2,_ _=Number of drinks  7 7=DK/NS  9 9=Refused,2013,Core Question,62
Alcohol Consumption,"Considering all types of alcoholic beverages, how many times during the past 30 days did you have X [CATI X = 5 for men, X = 4 for women] or more drinks on an occasion?",DRNK3GE5,_ _=Number of times  8 8=None  7 7=DK/NS  9 9=Refused,2013,Core Question,63
Alcohol Consumption,"During the past 30 days, what is the largest number of drinks you had on any occasion?",MAXDRNKS,_ _ =Number of drinks  7 7 =DK/NS  9 9 =Refused,2013,Core Question,64
Fruits & Vegetables,"During the past month, how many times per day, week or month did you drink 100% PURE fruit juices? Do not include fruit-flavored drinks with added sugar or fruit juice you made at home and added sugar to. Only include 100% juice.",FRUITJU1,101-199=Per day 201-299=Per week 301-399=Per month 300=Less than one time per month 555=Never 777=DK/Not sure 999=Refused,2013,Core Question,65
Asthma/Adult Asthma History,"[Prologue] During the past 12 months, have you had an episode of asthma or an asthma attack?",ASATTACK,1=Yes  2=No  7=DK/NS  9=Refused,2013,Module Question,123
Fruits & Vegetables,"During the past month, not counting juice, how many times per day, week, or month did you eat fruit? Count fresh, frozen, or canned fruit.",FRUIT1,101-199=Per day 201-299=Per week 301-399=Per month 300=Less than one time per month 555=Never 777=DK/Not sure 999=Refused,2013,Core Question,66
Fruits & Vegetables,"During the past month, how many times per day, week, or month did you eat cooked or canned beans, such as refried, baked, black, garbanzo beans, beans in soup, soybeans, edamame, tofu or lentils. Do NOT include long green beans.",FVBEANS,101-199=Per day 201-299=Per week 301-399=Per month 300=Less than one time per month 555=Never 777=DK/Not sure 999=Refused,2013,Core Question,67
Fruits & Vegetables,"During the past month, how many times per day, week, or month did you eat dark green vegetables for example broccoli or dark leafy greens including romaine, chard, collard greens or spinach?",FVGREEN,101-199=Per day 201-299=Per week 301-399=Per month 300=Less than one time per month 555=Never 777=DK/Not sure 999=Refused,2013,Core Question,68
Fruits & Vegetables,"During the past month, how many times per day, week, or month did you eat orange-colored vegetables such as sweet potatoes, pumpkin, winter squash, or carrots?",FVORANG,101-199=Per day 201-299=Per week 301-399=Per month 300=Less than one time per month 555=Never 777=DK/Not sure 999=Refused,2013,Core Question,69
Fruits & Vegetables,"Not counting what you just told me about, during the past month, about how many times per day, week, or month did you eat OTHER vegetables? Examples of other vegetables include tomatoes, tomato juice or V-8 juice, corn, eggplant, peas, lettuce, cabbage, a",VEGETAB1,101-199=Servings per day 201-299=Servings per week 301-399=Servings per month 300=Less than one time per month 555=Never 777=DK/Not sure 999=Refused,2013,Core Question,70
Exercise/Physical Activity,"During the past month, other than your regular job, did you participate in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise?",EXERANY2,1=Yes  2=No  7=DK/NS  9=Refused,2013,Core Question,71
Exercise (Physical Activity),What type of physical activity or exercise did you spend the most time doing during the past month?,EXRACT11,"1=Active Gaming Devices (Wii Fit, Dance, Dance revolution) 2=Aerobics video or class 3=Backpacking 4=Badminton 5=Basketball 6=Bicycling machine exercise 7=Bicycling 8=Boating (Canoeing, rowing, kayaking, sailing for pleasure or camping) 9=Bowling 10=Boxin",2013,Core Question,72
Exercise/Physical Activity,[How far did you usually walk/run/jog/swim? (first activity)]  How many times per week or per month did you take part in this activity during the past month?,EXEROFT1,1_ _=Number of times/week  2_ _=Number of times/month  777=DK/NS  999=Refused,2013,Core Question,73
Industry and Occupation,What kind of work do/did you do?,TYPEWORK,HIDDEN=Data not displayed 99=Refused,2013,Module Question,182
Exercise/Physical Activity,"[How far did you usually walk/run/jog/swim? (first activity)]  And when you took part in this activity, for how many minutes or hours did you usually keep at it?",EXERHMM1,__:__ __=Hours & minutes  777=DK/NS  999=Refused,2013,Core Question,74
Exercise (Physical Activity),What other type of physical activity gave you the next most exercise during the past month?,EXRACT21,"1=Active Gaming Devices (Wii Fit, Dance, Dance revolution) 2=Aerobics video or class 3=Backpacking 4=Badminton 5=Basketball 6=Bicycling machine exercise 7=Bicycling 8=Boating (Canoeing, rowing, kayaking, sailing for pleasure or camping) 9=Bowling 10=Boxin",2013,Core Question,75
Exercise/Physical Activity,[How far did you usually walk/run/jog/swim? (second activity)]How many times per week or per month did you take part in this activity?,EXEROFT2,1_ _=Number of times/week  2_ _=Number of times/month  777=DK  999=Refused,2013,Core Question,76
Exercise/Physical Activity,"[How far did you usually walk/run/jog/swim?  (second activity)]  And when you took part in this activity, for how many minutes or hours did you usually keep at it?",EXERHMM2,__:__ __=Hours & minutes  777=DK/NS  999=Refused,2013,Core Question,77
Exercise (Physical Activity),"During the past month, how many times per week or per month did you do physical activities or exercises to STRENGTHEN your muscles?",STRENGTH,101-199=Times per week 201-299=Times per month 888=Never 777=DK / Not sure 999=Refused,2013,Core Question,78
Arthritis Burden,Are you now limited in any way in any of your usual activities because of arthritis or joint symptoms?,LMTJOIN3,1=Yes 2=No 7=DK/Not sure 9=Refused,2013,Core Question,79
Arthritis (Arthritis Management/Burden),"In this next question, we are referring to work for pay. Do arthritis or joint symptoms now affect whether you work, the type of work you do, or the amount of work you do? [Note: If respondent gives an answer to each issue (whether works, type of work, or amount of work), then if any issue is ""yes"" mark the overall response as ""yes."" If a question arises about medications or treatment, then the interviewer should say: ""Please answer the question based on your current experience, regardless of whether you are taking any medication or treatment.""]",ARTHDIS2,1=Yes  2=No  7=DK/NS  9=Refused,2013,Core Question,80
Arthritis (Arthritis Management/Burden),"[Prologue] During the past 30 days, to what extent has your arthritis or joint symptoms interfered with your normal social activities, such as going shopping, to the movies, or to religious or social gatherings? (Note: If a question arises about medications or treatment, then the interviewer should say: ""Please answer the question based on your current experience, regardless of whether you are taking any medications or treatment.""",ARTHSOCL,1=A lot  2=A little  3=Not at all  7=DK/NS  9=Refused,2013,Core Question,81
Asthma/Adult Asthma History,"[Prologue] During the past 12 months, how many times did you visit an emergency room or urgent care center because of your asthma?",ASERVIST,_ _=Number of visits [87=87 or more]  8 8=None  9 8=DK/NS  9 9=Refused,2013,Module Question,124
Arthritis (Arthritis Management/Burden),"[Prologue] Please taking about the past 30 days, keeping in mind all of your joint pain or aching and whether or not you have taken medication. DURING THE PAST 30 DAYS, how bad was your joint pain ON AVERAGE? Please answer on a scale of 0 to 10 where 0 is no pain or aching and 10 is pain or aching as bad as it can be.",JOINPAIN,_ _=Enter number [00-10]  7 7=DK/NS  9 9=Refused,2013,Core Question,82
Injury/Residential Fire/Firearms/Seatbelt Use,How often do you use seat belts when you drive or ride in a car?,SEATBELT,1=Always  2=Nearly always  3=Sometimes  4=Seldom  5=Never  7=DK/NS  8=Never drive or ride in a car  9=Refused,2013,Core Question,83
Immunization,"During the past 12 months, have you had either a flu shot or a flu vaccine that was sprayed in your nose?",FLUSHOT6,1=Yes 2=No 7=DK/NS 9=Refused,2013,Core Question,84
Immunization,During what month and year did you receive your most recent flu shot injected into your arm or flu vaccine that was sprayed in your nose?,FLSHTMY2,12007-122008=Month / Year 777777=DK/NS 999999=Refused,2013,Core Question,85
Immunization,"Since 2005, have you had a tetanus shot?",TETANUS,"1=Yes, received Tdap 2=Yes, received tetanus shot, but not Tdap 3=Yes, received tetanus shot but not sure what type 4=No, did not receive any tetanus since 2005 7=DK/NS 9=Refused",2013,Core Question,86
Immunization/Influenza,A pneumonia shot or pneumococcal vaccine is usually given only once or twice in a person's lifetime and is different from the flu shot. Have you ever had a pneumonia shot?,PNEUVAC3,1=Yes  2=No  7=DK/NS  9=Refused,2013,Core Question,87
HIV/AIDS,Have you ever been tested for HIV?  Do not count tests you may have had as part of a blood donation. Include testing fluid from your mouth.,HIVTST6,1=Yes 2=No 7=DK/NS 9=Refused,2013,Core Question,88
HIV/AIDS,"Not including blood donations, in what month and year was your last HIV test?",HIVTSTD3,11985-122008=Code month and year 771985-772008=Unknown month and known year 777777=DK/Not sure 999999=Refused,2013,Core Question,89
HIV/AIDS,"Where did you have your last HIV test — at a private doctor or HMO office, at a counseling and testing site, in the emergency room, as an inpatient in a hospital, at a clinic, in a jail or prison, at a drug treatment facility, at home, or somewhere else?",WHRTST10,01=Private doctor or HMO 02=Counseling and testing site 03=Hospital inpatient 04=Clinic 05=Jail or prison (or other correctional facility) 06=Drug treatment facility 07=At home 08=Somewhere else 09=Emergency room 77=DK/Not sure 99=Refused,2013,Core Question,90
Pre-Diabetes,Have you had a test for high blood sugar or diabetes within the past three years?,PDIABTST,1=Yes  2=No  7=DK/NS  9=Refused,2013,Module Question,91
Pre-Diabetes,"Have you ever been told by a doctor or other health professional that you have pre-diabetes or borderline diabetes? If ""Yes"" and respondent is female, ask: ""Was this only when you were pregnant""? (Variable name change)",PREDIAB1,"1=Yes  2=Yes, during pregnancy  3=No  7=DK/NS  9=Refused",2013,Module Question,92
Diabetes,How old were you when you were told you have diabetes?  (Variable name change),DIABAGE2,_ _=Age in years [97=97 and older]  9 8=DK/NS  9 9=Refused,2013,Module Question,93
Diabetes,Are you now taking insulin?,INSULIN,1=Yes  2=No  9=Refused,2013,Module Question,94
Diabetes,"About how often do you check your blood for glucose or sugar?  Include times when checked by a family member or friend, but do not include times when checked by a health professional.",BLDSUGAR,1_ _ =Times per day  2_ _ =Times per week  3_ _ =Times per month  4_ _ =Times per year  8 8 8=Never  7 7 7=DK/NS  9 9 9=Refused,2013,Module Question,95
Diabetes,"About how often do you check your feet for any sores or irritations?  Include times when checked by a family member or friend, but do NOT include times when checked by a health professional.",FEETCHK2,1_ _ =Times per day  2_ _ =Times per week  3_ _ =Times per month  4_ _ =Times per year  5 5 5=No feet  8 8 8=Never  7 7 7=DK/NS  9 9 9=Refused,2013,Module Question,96
Diabetes,"About how many times in the past 12 months have you seen a doctor, nurse, or other health professional for your diabetes?",DOCTDIAB,_ _ =Number of times [76=76 or more]  8 8 =None  7 7 =DK/NS  9 9 =Refused,2013,Module Question,97
Diabetes,"A test for ""A one C"" measures the average level of blood sugar over the past three months.  About how many times in the past 12 months has a doctor, nurse, or other health professional checked you for ""A one C""?",CHKHEMO3,"__ __=Number of times [76=76 or more]  88=None  98=Never heard of ""A one C"" test  77=DK/NS  99=Refused",2013,Module Question,98
Diabetes,About how many times in the past 12 months has a health professional checked your feet for any sores or irritations?,FEETCHK,_ _=Number of times [76=76 or more]  8 8=None   7 7=DK/NS   9 9=Refused,2013,Module Question,99
Diabetes,When was the last time you had an eye exam in which the pupils were dilated? This would have made you temporarily sensitive to bright light.,EYEEXAM,1=Within the past month (anytime less than 1 month ago)  2=Within the past year (1 month but less than 12 months ago)  3=Within the past 2 years (1 year but less than 2 years ago)  4=2 or more years ago  8=Never  7=DK/NS  9=Refused,2013,Module Question,100
Diabetes,Has a doctor ever told you that diabetes has affected your eyes or that you had retinopathy?,DIABEYE,1=Yes  2=No  7=DK/NS  9=Refused,2013,Module Question,101
Diabetes,Have  you ever taken a course or class in how to manage your diabetes yourself?,DIABEDU,1=Yes  2=No  7=DK/NS  9=Refused,2013,Module Question,102
Quality Of Life/Healthy Days (Symptoms)/Disability,"[Prologue: The next few questions are about health-related problems or symptoms.] During the past 30 days, for about how many days did pain make it hard for you to do your usual activities, such as self-care, work, or recreation?  (Variable name change)",PAINACT2,_ _ =Number of days  8 8=None  7 7=DK/NS  9 9=Refused,2013,Module Question,103
Quality Of Life/Healthy Days (Symptoms)/Disability,"[Prologue] During the past 30 days, for about how many days have you felt sad, blue, or depressed?  (Screened for physical, mental, emotional problems or use of special equipment because of a health problem.)",QLMENTL2,_ _=Number of days  8 8=None  7 7=DK/NS  9 9=Refused,2013,Module Question,104
Quality Of Life/Healthy Days (Symptoms)/Disability,"[Prologue] During the past 30 days, for about how many days have you felt worried, tense, or anxious?  (Screened for physical, mental, emotional problems or use of special equipment because of a health problem.)",QLSTRES2,_ _=Number of days  8 8=None  7 7=DK/NS  9 9=Refused,2013,Module Question,105
Quality Of Life/Healthy Days (Symptoms)/Disability,"[Prologue] During the past 30 days, for about how many days have you felt very healthy and full of energy?  (Screened for physical, mental, emotional problems or use of special equipment because of a health problem.)",QLHLTH2,_ _=Number of days  8 8=None  7 7=DK/NS  9 9=Refused,2013,Module Question,106
Health Care Coverage/Access,Do you have Medicare?,MEDICARE,1=Yes  2=No  7=DK/NS  9=Refused,2013,Module Question,107
Health Care Access,Are you CURRENTLY covered by any of the following types of health insurance or health coverage plans?,HLTHCVRG,"01=Your employer 02=Someone else´s employer 03=A plan that you or someone else buys on your own 04=Medicaid or Medical Assistance [or substitute state program name] 05=The military, CHAMPUS, or the VA [or CHAMP-VA] 06=The Indian Health Service [or the Ala",2013,Module Question,108
Health Care Access,Have you delayed getting needed medical care for any of the following reasons in the past 12 months? Select the most important reason.,DELAYMED,"1=You couldn’t get through on the telephone 2=You couldn’t get an appointment soon enough 3=Once you got there, you had to wait too long to see the doctor 4=The (clinic/doctor’s) office wasn’t open when you got there. 5=You didn’t have transportation 6=Ot",2013,Module Question,109
Health Care Access,Delayed Getting Medical Care Other Response,DLYOTHER,1=Excellent 2=Very Good 3=Good 4=Fair 5=Poor 6=Doesn´t have usual place 7=DK/Not sure 9=Refused HIDDEN=Data not displayed,2013,Module Question,110
Health Care Access,In the PAST 12 MONTHS was there any time when you did NOT have ANY health insurance or coverage?,NOCOV121,1=Yes 2=No 7=DK/NS 9=Refused,2013,Module Question,111
Health Care Access,About how long has it been since you last had health care coverage?,LSTCOVRG,"1=6 months or less 2=More than 6 months, but not more than 1 year ago 3=More than 1 year, but not more than 3 years ago 4=More than 3 years 5=Never 7=DK/NS 9=Refused",2013,Module Question,112
Health Care Access,"How many times have you been to a doctor, nurse, or other health professional in the past 12 months?",DRVISITS,1-76=Number of times 88=None 77=DK/NS 99=Refused,2013,Module Question,113
Health Care Access,Was there a time in the past 12 months when you did not take your medication as prescribed because of cost? Do not include over-the-counter (OTC) medication.,MEDSCOST,1=Yes 2=No 3=No medication was prescribed 7=DK/NS 9=Refused,2013,Module Question,114
Health Care Access,"In general, how satisfied are you with the health care you received?  Would you say—",CARERCVD,1=Very satisfied 2=Somewhat satisfied 3=Not at all satisfied 8=Not applicable 7=DK/NS 9=Refused,2013,Module Question,115
Health Care Access,Do you currently have any medical bills that are being paid off over time?,MEDBILLS,1=Yes 2=No 7=DK/NS 9=Refused,2013,Module Question,116
